Site,latitude,longitude
EnergyFarm,40.0629,-88.2009
MN_Redwood1,44.3466,-95.536
IN_Randolph,40.2655,-85.161
OH_Auglaize2,40.5167,-84.0858
SD_Clay,43.0467,-96.8965
